place,website
"McAllen, Texas",https://mcallen.net/
"Birmingham, Alabama",https://www.birminghamal.gov/
"Albuquerque, New Mexico",https://www.nm.gov/
"Tulsa, Oklahoma",https://www.cityoftulsa.org/
"Charleston, South Carolina",https://www.charleston-sc.gov/
"Fresno, California",https://www.fresno.gov/
"Rochester, New York",https://www.cityofrochester.gov/
"Dayton, Ohio",https://www.daytonohio.gov/
"Cape Coral, Florida",https://www.capecoral.gov/
"Provo, Utah",https://www.provo.gov/
"Colorado Springs, Colorado",https://coloradosprings.gov/
"Mission Viejo, California",https://www.cityofmissionviejo.org/
"Allentown, Pennsylvania",https://www.allentownpa.gov/en-us/
"Baton Rouge, Louisiana",https://www.brla.gov/
"Ogden, Utah",https://www.ogdencity.gov/
"Knoxville, Tennessee",https://www.knoxvilletn.gov/
"Grand Rapids, Michigan",https://www.grandrapidsmi.gov/Home
"Columbia, South Carolina",https://columbiasc.gov/
"Albany, New York",https://www.albanyny.gov/
"Bakersfield, California",https://www.bakersfieldcity.us/
"New Haven, Connecticut",https://www.newhavenct.gov/
"Des Moines, Iowa",https://www.dsm.city/
"Palm Bay, Florida",https://www.palmbayfl.gov/
"Akron, Ohio",https://www.akronohio.gov/
"Concord, California",https://www.cityofconcord.org/
"Mesa, Arizona",https://www.mesaaz.gov/Home
"Wichita, Kansas",https://www.wichita.gov/
"Harrisburg, Pennsylvania",https://harrisburgpa.gov/
"Staten Island, New York",https://www.nyc.gov/
"Toledo, Ohio",https://toledo.oh.gov/
"Worcester, Massachusetts",https://www.worcesterma.gov/home
"Port St. Lucie, Florida",https://www.cityofpsl.com/Home
"Little Rock, Arkansas",https://www.littlerock.gov/
"Madison, Wisconsin",https://www.cityofmadison.com/
"Spokane, Washington",https://my.spokanecity.org/
"Long Beach, California",https://www.longbeach.gov/
"Denton, Texas",https://www.cityofdenton.com/
"Reno, Nevada",https://www.reno.gov/
"Boise, Idaho",https://www.cityofboise.org/
"Bonita Springs, Florida",https://www.cityofbonitasprings.org/
"Kissimmee, Florida",https://www.kissimmee.gov/Home
"Augusta, Georgia",https://www.augustaga.gov/
"Springfield, Massachusetts",https://www.springfield-ma.gov/
"Oakland, California",https://www.oaklandca.gov/
"Winston-Salem, North Carolina",https://www.cityofws.org/
"Stockton, California",https://www.stocktonca.gov/
"Durham, North Carolina",https://www.durhamnc.gov/
"Chattanooga, Tennessee",https://chattanooga.gov/
"Greenville, South Carolina",https://www.greenvillesc.gov/
"Lancaster, Pennsylvania",https://co.lancaster.pa.us/
"Syracuse, New York",https://www.syr.gov/Home
"Fayetteville, Arkansas",https://www.fayetteville-ar.gov/
"Pensacola, Florida",https://www.cityofpensacola.com/
"Arlington, Texas",https://www.arlingtontx.gov/Home
"Aurora, Colorado",https://www.auroragov.org/
"Scranton, Pennsylvania",https://scrantonpa.gov/
"Oxnard, California",https://www.oxnard.gov/
"Indio, California",https://www.ca.gov/
"Victorville, California",https://www.victorvilleca.gov/
"Trenton, New Jersey",https://www.trentonnj.org/
"Huntsville, Alabama",https://www.huntsvilleal.gov/
"Modesto, California",https://www.modestogov.com/
"Honolulu, Hawaii",https://www.honolulu.gov/
"Greensboro, North Carolina",https://www.greensboro-nc.gov/
"Fort Wayne, Indiana",https://www.cityoffortwayne.org/
"Anaheim, California",https://www.anaheim.net/
